algorithm,beta,n,seed,detected_race_to_loan,shd,beta_hat,wall_time_s
GRaSP,0.0,1000,1017,0,5,,0.008
ICA-LiNGAM,0.0,1000,1017,0,1,0.0,0.017
DirectLiNGAM,0.0,1000,1017,0,1,0.0,0.067
PC,0.0,1000,1018,0,4,,0.022
FCI,0.0,1000,1018,0,8,,0.026
GES,0.0,1000,1018,0,7,,0.027
GRaSP,0.0,1000,1018,0,7,,0.007
ICA-LiNGAM,0.0,1000,1018,0,0,0.0,0.016
DirectLiNGAM,0.0,1000,1018,0,0,0.0,0.056
PC,0.0,1000,1019,0,9,,0.019
FCI,0.0,1000,1019,0,7,,0.028
GES,0.0,1000,1019,0,3,,0.061
GRaSP,0.0,1000,1019,0,5,,0.01
ICA-LiNGAM,0.0,1000,1019,0,1,0.0,0.022
DirectLiNGAM,0.0,1000,1019,0,2,0.0,0.059
PC,0.0,5000,1000,0,5,,0.025
FCI,0.0,5000,1000,0,8,,0.042
GES,0.0,5000,1000,0,2,,0.061
GRaSP,0.0,5000,1000,0,3,,0.012
ICA-LiNGAM,0.0,5000,1000,0,0,0.0,0.033
DirectLiNGAM,0.0,5000,1000,0,0,0.0,0.109
PC,0.0,5000,1001,0,6,,0.03
FCI,0.0,5000,1001,0,9,,0.049
GES,0.0,5000,1001,0,2,,0.046
GRaSP,0.0,5000,1001,0,3,,0.008
ICA-LiNGAM,0.0,5000,1001,0,0,0.0,0.025
DirectLiNGAM,0.0,5000,1001,0,0,0.0,0.127
PC,0.0,5000,1002,0,6,,0.035
FCI,0.0,5000,1002,0,6,,0.051
GES,0.0,5000,1002,0,5,,0.057
GRaSP,0.0,5000,1002,0,3,,0.01
ICA-LiNGAM,0.0,5000,1002,0,0,0.0,0.023
DirectLiNGAM,0.0,5000,1002,0,0,0.0,0.134
PC,0.0,5000,1003,0,4,,0.023
FCI,0.0,5000,1003,0,8,,0.041
GES,0.0,5000,1003,0,15,,0.041
GRaSP,0.0,5000,1003,0,14,,0.012
ICA-LiNGAM,0.0,5000,1003,0,0,0.0,0.025
DirectLiNGAM,0.0,5000,1003,0,0,0.0,0.122
PC,0.0,5000,1004,0,7,,0.024
FCI,0.0,5000,1004,0,10,,0.034
GES,0.0,5000,1004,0,13,,0.039
GRaSP,0.0,5000,1004,0,3,,0.01
ICA-LiNGAM,0.0,5000,1004,0,1,0.0,0.025
DirectLiNGAM,0.0,5000,1004,0,1,0.0,0.122
PC,0.0,5000,1005,0,4,,0.032
FCI,0.0,5000,1005,0,8,,0.05
GES,0.0,5000,1005,0,11,,0.04
GRaSP,0.0,5000,1005,0,9,,0.008
ICA-LiNGAM,0.0,5000,1005,0,0,0.0,0.024
DirectLiNGAM,0.0,5000,1005,0,0,0.0,0.112
PC,0.0,5000,1006,0,4,,0.03
FCI,0.0,5000,1006,0,8,,0.052
GES,0.0,5000,1006,0,3,,0.042
GRaSP,0.0,5000,1006,0,13,,0.008
ICA-LiNGAM,0.0,5000,1006,0,1,0.0,0.027
DirectLiNGAM,0.0,5000,1006,0,1,0.0,0.116
PC,0.0,5000,1007,0,6,,0.042
FCI,0.0,5000,1007,0,10,,0.052
GES,0.0,5000,1007,0,15,,0.042
GRaSP,0.0,5000,1007,0,8,,0.007
ICA-LiNGAM,0.0,5000,1007,0,0,0.0,0.026
DirectLiNGAM,0.0,5000,1007,0,0,0.0,0.14
PC,0.0,5000,1008,0,7,,0.023
FCI,0.0,5000,1008,0,8,,0.042
GES,0.0,5000,1008,0,2,,0.044
GRaSP,0.0,5000,1008,0,3,,0.009
ICA-LiNGAM,0.0,5000,1008,0,0,0.0,0.025
DirectLiNGAM,0.0,5000,1008,0,0,0.0,0.131
PC,0.0,5000,1009,0,4,,0.03
FCI,0.0,5000,1009,0,8,,0.046
GES,0.0,5000,1009,0,3,,0.039
GRaSP,0.0,5000,1009,0,8,,0.007
ICA-LiNGAM,0.0,5000,1009,0,1,0.0,0.028
DirectLiNGAM,0.0,5000,1009,0,1,0.0,0.126
PC,0.0,5000,1010,0,4,,0.037
FCI,0.0,5000,1010,0,8,,0.046
GES,0.0,5000,1010,0,7,,0.043
GRaSP,0.0,5000,1010,0,8,,0.009
ICA-LiNGAM,0.0,5000,1010,0,0,0.0,0.025
DirectLiNGAM,0.0,5000,1010,0,0,0.0,0.126
PC,0.0,5000,1011,0,4,,0.03
FCI,0.0,5000,1011,0,8,,0.042
GES,0.0,5000,1011,0,15,,0.038
GRaSP,0.0,5000,1011,0,3,,0.01
ICA-LiNGAM,0.0,5000,1011,0,0,0.0,0.023
DirectLiNGAM,0.0,5000,1011,0,0,0.0,0.118
PC,0.0,5000,1012,0,7,,0.029
FCI,0.0,5000,1012,0,10,,0.038
GES,0.0,5000,1012,0,15,,0.039
GRaSP,0.0,5000,1012,0,3,,0.008
ICA-LiNGAM,0.0,5000,1012,0,0,0.0,0.025
DirectLiNGAM,0.0,5000,1012,0,0,0.0,0.121
PC,0.0,5000,1013,0,7,,0.024
FCI,0.0,5000,1013,0,10,,0.034
GES,0.0,5000,1013,0,13,,0.038
GRaSP,0.0,5000,1013,0,16,,0.009
