algorithm,beta,n,seed,detected_race_to_loan,shd,beta_hat,wall_time_s
ICA-LiNGAM,0.05,1000,1007,0,2,0.0,0.021
DirectLiNGAM,0.05,1000,1007,0,2,0.0,0.064
PC,0.05,1000,1008,0,5,,0.021
FCI,0.05,1000,1008,0,9,,0.024
GES,0.05,1000,1008,0,18,,0.037
GRaSP,0.05,1000,1008,0,4,,0.008
ICA-LiNGAM,0.05,1000,1008,0,2,0.0,0.016
DirectLiNGAM,0.05,1000,1008,0,2,0.0,0.064
PC,0.05,1000,1009,0,10,,0.018
FCI,0.05,1000,1009,0,11,,0.023
GES,0.05,1000,1009,0,11,,0.03
GRaSP,0.05,1000,1009,0,11,,0.007
ICA-LiNGAM,0.05,1000,1009,0,2,0.0,0.016
DirectLiNGAM,0.05,1000,1009,0,2,0.0,0.052
PC,0.05,1000,1010,0,9,,0.013
FCI,0.05,1000,1010,0,12,,0.018
GES,0.05,1000,1010,0,7,,0.036
GRaSP,0.05,1000,1010,0,11,,0.009
ICA-LiNGAM,0.05,1000,1010,0,3,0.0,0.021
DirectLiNGAM,0.05,1000,1010,0,3,0.0,0.069
PC,0.05,1000,1011,0,6,,0.018
FCI,0.05,1000,1011,0,9,,0.021
GES,0.05,1000,1011,1,10,,0.027
GRaSP,0.05,1000,1011,0,8,,0.006
ICA-LiNGAM,0.05,1000,1011,0,2,0.0,0.016
DirectLiNGAM,0.05,1000,1011,0,2,0.0,0.067
PC,0.05,1000,1012,0,9,,0.017
FCI,0.05,1000,1012,0,12,,0.023
GES,0.05,1000,1012,0,8,,0.033
GRaSP,0.05,1000,1012,0,6,,0.007
ICA-LiNGAM,0.05,1000,1012,0,2,0.0,0.017
DirectLiNGAM,0.05,1000,1012,0,2,0.0,0.051
PC,0.05,1000,1013,0,12,,0.012
FCI,0.05,1000,1013,0,11,,0.018
GES,0.05,1000,1013,0,19,,0.04
GRaSP,0.05,1000,1013,0,12,,0.007
ICA-LiNGAM,0.05,1000,1013,0,3,0.0,0.022
DirectLiNGAM,0.05,1000,1013,0,3,0.0,0.064
PC,0.05,1000,1014,0,7,,0.023
FCI,0.05,1000,1014,0,10,,0.04
GES,0.05,1000,1014,0,12,,0.046
GRaSP,0.05,1000,1014,0,4,,0.01
ICA-LiNGAM,0.05,1000,1014,0,2,0.0,0.021
DirectLiNGAM,0.05,1000,1014,0,4,0.0,0.07
PC,0.05,1000,1015,0,6,,0.02
FCI,0.05,1000,1015,0,9,,0.022
GES,0.05,1000,1015,0,4,,0.039
GRaSP,0.05,1000,1015,0,6,,0.008
ICA-LiNGAM,0.05,1000,1015,0,2,0.0,0.018
DirectLiNGAM,0.05,1000,1015,0,2,0.0,0.067
PC,0.05,1000,1016,0,4,,0.025
FCI,0.05,1000,1016,0,8,,0.031
GES,0.05,1000,1016,0,10,,0.067
GRaSP,0.05,1000,1016,0,8,,0.007
ICA-LiNGAM,0.05,1000,1016,0,2,0.0,0.016
DirectLiNGAM,0.05,1000,1016,0,2,0.0,0.052
PC,0.05,1000,1017,0,8,,0.017
FCI,0.05,1000,1017,0,11,,0.029
GES,0.05,1000,1017,1,9,,0.051
GRaSP,0.05,1000,1017,0,6,,0.01
ICA-LiNGAM,0.05,1000,1017,1,1,-0.07583078068613779,0.018
DirectLiNGAM,0.05,1000,1017,1,1,-0.07583078068613722,0.052
PC,0.05,1000,1018,0,6,,0.017
FCI,0.05,1000,1018,0,9,,0.025
GES,0.05,1000,1018,1,7,,0.044
GRaSP,0.05,1000,1018,0,8,,0.008
ICA-LiNGAM,0.05,1000,1018,0,1,0.0,0.021
DirectLiNGAM,0.05,1000,1018,0,1,0.0,0.062
PC,0.05,1000,1019,0,7,,0.019
FCI,0.05,1000,1019,0,9,,0.026
GES,0.05,1000,1019,1,9,,0.035
GRaSP,0.05,1000,1019,0,6,,0.007
ICA-LiNGAM,0.05,1000,1019,0,2,0.0,0.016
DirectLiNGAM,0.05,1000,1019,0,3,0.0,0.064
PC,0.05,5000,1000,0,5,,0.033
FCI,0.05,5000,1000,0,9,,0.039
GES,0.05,5000,1000,1,2,,0.048
GRaSP,0.05,5000,1000,0,4,,0.008
ICA-LiNGAM,0.05,5000,1000,1,0,-0.057542291346057,0.025
DirectLiNGAM,0.05,5000,1000,1,0,-0.057542291346057026,0.117
PC,0.05,5000,1001,0,5,,0.034
FCI,0.05,5000,1001,0,9,,0.057
GES,0.05,5000,1001,0,16,,0.042
GRaSP,0.05,5000,1001,0,4,,0.008
ICA-LiNGAM,0.05,5000,1001,0,1,0.0,0.026
DirectLiNGAM,0.05,5000,1001,0,1,0.0,0.116
PC,0.05,5000,1002,0,8,,0.031
FCI,0.05,5000,1002,0,9,,0.049
GES,0.05,5000,1002,1,9,,0.049
GRaSP,0.05,5000,1002,0,17,,0.009
ICA-LiNGAM,0.05,5000,1002,1,0,-0.06357413075539214,0.027
DirectLiNGAM,0.05,5000,1002,1,0,-0.06357413075539188,0.129
PC,0.05,5000,1003,0,9,,0.026
FCI,0.05,5000,1003,0,9,,0.041
GES,0.05,5000,1003,1,5,,0.063
GRaSP,0.05,5000,1003,0,17,,0.01
ICA-LiNGAM,0.05,5000,1003,1,0,-0.07839198241985784,0.023
DirectLiNGAM,0.05,5000,1003,1,0,-0.07839198241985772,0.13
PC,0.05,5000,1004,0,8,,0.023
FCI,0.05,5000,1004,0,11,,0.025
GES,0.05,5000,1004,0,15,,0.041
GRaSP,0.05,5000,1004,0,9,,0.009
ICA-LiNGAM,0.05,5000,1004,1,1,-0.05183027877561559,0.025
DirectLiNGAM,0.05,5000,1004,1,1,-0.05183027877561559,0.113
PC,0.05,5000,1005,0,5,,0.03
FCI,0.05,5000,1005,0,9,,0.055
GES,0.05,5000,1005,0,12,,0.041
GRaSP,0.05,5000,1005,0,10,,0.008
ICA-LiNGAM,0.05,5000,1005,0,1,0.0,0.024
DirectLiNGAM,0.05,5000,1005,0,1,0.0,0.116
PC,0.05,5000,1006,0,5,,0.031
FCI,0.05,5000,1006,0,9,,0.052
GES,0.05,5000,1006,0,4,,0.042
GRaSP,0.05,5000,1006,0,14,,0.008
ICA-LiNGAM,0.05,5000,1006,0,2,0.0,0.024
DirectLiNGAM,0.05,5000,1006,0,2,0.0,0.124
PC,0.05,5000,1007,0,3,,0.035
FCI,0.05,5000,1007,0,8,,0.043
GES,0.05,5000,1007,0,16,,0.041
GRaSP,0.05,5000,1007,0,9,,0.007
ICA-LiNGAM,0.05,5000,1007,0,1,0.0,0.025
DirectLiNGAM,0.05,5000,1007,0,1,0.0,0.118
PC,0.05,5000,1008,0,8,,0.03
FCI,0.05,5000,1008,0,9,,0.047
GES,0.05,5000,1008,0,3,,0.044
GRaSP,0.05,5000,1008,0,4,,0.008
ICA-LiNGAM,0.05,5000,1008,0,1,0.0,0.022
DirectLiNGAM,0.05,5000,1008,0,1,0.0,0.119
PC,0.05,5000,1009,0,9,,0.028
FCI,0.05,5000,1009,0,11,,0.052
GES,0.05,5000,1009,1,9,,0.06
GRaSP,0.05,5000,1009,0,9,,0.007
ICA-LiNGAM,0.05,5000,1009,1,1,-0.05177154948391244,0.026
DirectLiNGAM,0.05,5000,1009,1,1,-0.05177154948391259,0.125
PC,0.05,5000,1010,0,9,,0.033
FCI,0.05,5000,1010,0,8,,0.042
GES,0.05,5000,1010,1,7,,0.045
GRaSP,0.05,5000,1010,0,4,,0.008
ICA-LiNGAM,0.05,5000,1010,1,0,-0.06426119736764442,0.025
DirectLiNGAM,0.05,5000,1010,1,0,-0.06426119736764357,0.121
PC,0.05,5000,1011,0,6,,0.029
FCI,0.05,5000,1011,0,9,,0.033
GES,0.05,5000,1011,0,16,,0.039
GRaSP,0.05,5000,1011,0,4,,0.01
ICA-LiNGAM,0.05,5000,1011,1,0,-0.0521274929665756,0.026
DirectLiNGAM,0.05,5000,1011,1,0,-0.052127492966575546,0.121
PC,0.05,5000,1012,0,10,,0.032
FCI,0.05,5000,1012,0,10,,0.041
GES,0.05,5000,1012,0,16,,0.039
GRaSP,0.05,5000,1012,0,4,,0.008
ICA-LiNGAM,0.05,5000,1012,0,1,0.0,0.027
DirectLiNGAM,0.05,5000,1012,0,1,0.0,0.12
PC,0.05,5000,1013,0,10,,0.025
FCI,0.05,5000,1013,0,10,,0.041
GES,0.05,5000,1013,0,11,,0.055
GRaSP,0.05,5000,1013,0,17,,0.008
ICA-LiNGAM,0.05,5000,1013,0,2,0.0,0.03
DirectLiNGAM,0.05,5000,1013,0,2,0.0,0.126
PC,0.05,5000,1014,0,4,,0.029
FCI,0.05,5000,1014,0,6,,0.032
GES,0.05,5000,1014,1,3,,0.048
GRaSP,0.05,5000,1014,0,4,,0.011
ICA-LiNGAM,0.05,5000,1014,1,1,-0.060136829399968096,0.023
DirectLiNGAM,0.05,5000,1014,1,1,-0.06013682939996831,0.118
PC,0.05,5000,1015,0,6,,0.027
FCI,0.05,5000,1015,0,9,,0.038
GES,0.05,5000,1015,1,8,,0.048
GRaSP,0.05,5000,1015,0,4,,0.01
ICA-LiNGAM,0.05,5000,1015,0,2,0.0,0.028
DirectLiNGAM,0.05,5000,1015,0,2,0.0,0.121
PC,0.05,5000,1016,0,8,,0.026
FCI,0.05,5000,1016,0,11,,0.031
GES,0.05,5000,1016,0,15,,0.039
GRaSP,0.05,5000,1016,0,9,,0.01
ICA-LiNGAM,0.05,5000,1016,0,2,0.0,0.024
DirectLiNGAM,0.05,5000,1016,0,2,0.0,0.122
PC,0.05,5000,1017,0,8,,0.026
FCI,0.05,5000,1017,0,11,,0.045
GES,0.05,5000,1017,1,2,,0.051
GRaSP,0.05,5000,1017,0,17,,0.012
ICA-LiNGAM,0.05,5000,1017,1,0,-0.0858329027157047,0.026
DirectLiNGAM,0.05,5000,1017,1,0,-0.08583290271570462,0.117
PC,0.05,5000,1018,0,8,,0.029
FCI,0.05,5000,1018,0,11,,0.038
GES,0.05,5000,1018,0,15,,0.038
GRaSP,0.05,5000,1018,0,6,,0.009
ICA-LiNGAM,0.05,5000,1018,1,0,-0.05682260486335812,0.027
DirectLiNGAM,0.05,5000,1018,1,0,-0.05682260486335842,0.15
PC,0.05,5000,1019,0,3,,0.043
FCI,0.05,5000,1019,0,6,,0.047
GES,0.05,5000,1019,0,6,,0.049
GRaSP,0.05,5000,1019,0,6,,0.01
ICA-LiNGAM,0.05,5000,1019,0,1,0.0,0.035
DirectLiNGAM,0.05,5000,1019,0,1,0.0,0.154
PC,0.05,10000,1000,0,12,,0.041
FCI,0.05,10000,1000,0,10,,0.059
GES,0.05,10000,1000,0,17,,0.051
GRaSP,0.05,10000,1000,0,4,,0.01
ICA-LiNGAM,0.05,10000,1000,1,0,-0.05031401444526656,0.035
DirectLiNGAM,0.05,10000,1000,1,0,-0.0503140144452667,0.211
PC,0.05,10000,1001,0,5,,0.043
FCI,0.05,10000,1001,0,9,,0.078
GES,0.05,10000,1001,0,14,,0.058
GRaSP,0.05,10000,1001,0,4,,0.009
ICA-LiNGAM,0.05,10000,1001,0,1,0.0,0.052
DirectLiNGAM,0.05,10000,1001,0,1,0.0,0.198
PC,0.05,10000,1002,0,5,,0.027
FCI,0.05,10000,1002,0,9,,0.044
GES,0.05,10000,1002,1,9,,0.057
GRaSP,0.05,10000,1002,0,15,,0.013
ICA-LiNGAM,0.05,10000,1002,1,0,-0.03690432473843759,0.036
DirectLiNGAM,0.05,10000,1002,1,0,-0.03690432473843766,0.207
PC,0.05,10000,1003,0,9,,0.029
FCI,0.05,10000,1003,0,8,,0.044
GES,0.05,10000,1003,0,17,,0.044
GRaSP,0.05,10000,1003,0,4,,0.01
ICA-LiNGAM,0.05,10000,1003,1,0,-0.055176123258473785,0.037
DirectLiNGAM,0.05,10000,1003,1,0,-0.05517612325847327,0.196
PC,0.05,10000,1004,0,9,,0.024
FCI,0.05,10000,1004,0,11,,0.047
GES,0.05,10000,1004,1,2,,0.072
GRaSP,0.05,10000,1004,0,13,,0.011
ICA-LiNGAM,0.05,10000,1004,1,0,-0.06354455848418326,0.035
DirectLiNGAM,0.05,10000,1004,1,0,-0.06354455848418314,0.202
PC,0.05,10000,1005,0,5,,0.024
FCI,0.05,10000,1005,0,9,,0.043
GES,0.05,10000,1005,1,5,,0.065
GRaSP,0.05,10000,1005,0,4,,0.008
ICA-LiNGAM,0.05,10000,1005,1,0,-0.046160913185487484,0.032
DirectLiNGAM,0.05,10000,1005,1,0,-0.04616091318548702,0.195
PC,0.05,10000,1006,0,9,,0.027
FCI,0.05,10000,1006,0,9,,0.05
GES,0.05,10000,1006,1,6,,0.066
GRaSP,0.05,10000,1006,0,16,,0.01
ICA-LiNGAM,0.05,10000,1006,1,0,-0.055434506986340545,0.032
DirectLiNGAM,0.05,10000,1006,1,0,-0.055434506986340885,0.203
PC,0.05,10000,1007,0,13,,0.027
FCI,0.05,10000,1007,0,10,,0.05
GES,0.05,10000,1007,1,9,,0.047
GRaSP,0.05,10000,1007,0,7,,0.009
ICA-LiNGAM,0.05,10000,1007,1,0,-0.0403523561108949,0.03
DirectLiNGAM,0.05,10000,1007,1,0,-0.04035235611089485,0.202
PC,0.05,10000,1008,0,8,,0.023
FCI,0.05,10000,1008,0,11,,0.032
GES,0.05,10000,1008,0,17,,0.053
GRaSP,0.05,10000,1008,0,4,,0.012
ICA-LiNGAM,0.05,10000,1008,1,0,-0.04646348552661852,0.035
DirectLiNGAM,0.05,10000,1008,1,0,-0.04646348552661868,0.199
PC,0.05,10000,1009,0,9,,0.027
FCI,0.05,10000,1009,0,11,,0.049
GES,0.05,10000,1009,1,5,,0.06
GRaSP,0.05,10000,1009,0,4,,0.01
ICA-LiNGAM,0.05,10000,1009,1,0,-0.05405980053954652,0.033
DirectLiNGAM,0.05,10000,1009,1,0,-0.05405980053954652,0.196
PC,0.05,10000,1010,0,15,,0.028
FCI,0.05,10000,1010,0,11,,0.052
GES,0.05,10000,1010,1,6,,0.041
GRaSP,0.05,10000,1010,0,4,,0.009
ICA-LiNGAM,0.05,10000,1010,0,1,0.0,0.033
DirectLiNGAM,0.05,10000,1010,0,1,0.0,0.198
PC,0.05,10000,1011,0,10,,0.025
FCI,0.05,10000,1011,0,8,,0.034
GES,0.05,10000,1011,1,3,,0.042
GRaSP,0.05,10000,1011,0,7,,0.011
ICA-LiNGAM,0.05,10000,1011,1,1,-0.05579783705736693,0.035
DirectLiNGAM,0.05,10000,1011,1,1,-0.0557978370573669,0.194
PC,0.05,10000,1012,0,4,,0.022
FCI,0.05,10000,1012,0,6,,0.029
GES,0.05,10000,1012,0,14,,0.038
GRaSP,0.05,10000,1012,0,4,,0.012
ICA-LiNGAM,0.05,10000,1012,1,1,-0.0323779751301785,0.034
DirectLiNGAM,0.05,10000,1012,1,1,-0.03237797513017854,0.196
PC,0.05,10000,1013,0,9,,0.024
FCI,0.05,10000,1013,0,11,,0.045
GES,0.05,10000,1013,0,15,,0.041
GRaSP,0.05,10000,1013,0,15,,0.013
ICA-LiNGAM,0.05,10000,1013,1,0,-0.048627941769766835,0.035
DirectLiNGAM,0.05,10000,1013,1,0,-0.048627941769767015,0.195
PC,0.05,10000,1014,0,12,,0.029
FCI,0.05,10000,1014,0,10,,0.044
GES,0.05,10000,1014,0,17,,0.057
GRaSP,0.05,10000,1014,0,15,,0.013
ICA-LiNGAM,0.05,10000,1014,1,0,-0.050371252603604644,0.03
DirectLiNGAM,0.05,10000,1014,1,0,-0.05037125260360476,0.196
PC,0.05,10000,1015,0,6,,0.025
FCI,0.05,10000,1015,0,9,,0.047
GES,0.05,10000,1015,1,5,,0.068
GRaSP,0.05,10000,1015,0,15,,0.01
ICA-LiNGAM,0.05,10000,1015,1,0,-0.04110767939933253,0.03
DirectLiNGAM,0.05,10000,1015,1,0,-0.0411076793993335,0.195
PC,0.05,10000,1016,0,9,,0.025
FCI,0.05,10000,1016,0,11,,0.047
GES,0.05,10000,1016,1,2,,0.047
GRaSP,0.05,10000,1016,0,10,,0.011
ICA-LiNGAM,0.05,10000,1016,1,0,-0.05199575286833407,0.039
DirectLiNGAM,0.05,10000,1016,1,0,-0.05199575286833413,0.203
PC,0.05,10000,1017,0,5,,0.026
FCI,0.05,10000,1017,0,9,,0.042
GES,0.05,10000,1017,1,9,,0.045
GRaSP,0.05,10000,1017,0,4,,0.008
ICA-LiNGAM,0.05,10000,1017,1,1,-0.03995788449959921,0.035
DirectLiNGAM,0.05,10000,1017,1,1,-0.039957884499599035,0.196
PC,0.05,10000,1018,0,9,,0.025
FCI,0.05,10000,1018,0,11,,0.051
GES,0.05,10000,1018,0,17,,0.045
GRaSP,0.05,10000,1018,0,4,,0.01
ICA-LiNGAM,0.05,10000,1018,1,0,-0.05426296390222597,0.037
DirectLiNGAM,0.05,10000,1018,1,0,-0.054262963902225854,0.195
PC,0.05,10000,1019,0,5,,0.024
FCI,0.05,10000,1019,0,9,,0.042
GES,0.05,10000,1019,1,5,,0.069
GRaSP,0.05,10000,1019,0,4,,0.01
ICA-LiNGAM,0.05,10000,1019,1,0,-0.0394208487441672,0.032
DirectLiNGAM,0.05,10000,1019,1,0,-0.03942084874416749,0.202
PC,0.05,50000,1000,0,9,,0.034
FCI,0.05,50000,1000,0,11,,0.051
GES,0.05,50000,1000,0,15,,0.063
GRaSP,0.05,50000,1000,1,5,,0.012
ICA-LiNGAM,0.05,50000,1000,1,0,-0.04829233223824405,0.184
DirectLiNGAM,0.05,50000,1000,1,0,-0.04829233223824382,0.721
PC,0.05,50000,1001,0,9,,0.033
FCI,0.05,50000,1001,0,8,,0.046
GES,0.05,50000,1001,0,17,,0.055
GRaSP,0.05,50000,1001,1,2,,0.013
ICA-LiNGAM,0.05,50000,1001,1,0,-0.03773131668365973,0.193
DirectLiNGAM,0.05,50000,1001,1,0,-0.03773131668366034,0.734
PC,0.05,50000,1002,0,11,,0.038
FCI,0.05,50000,1002,0,7,,0.057
GES,0.05,50000,1002,1,5,,0.074
GRaSP,0.05,50000,1002,1,5,,0.018
ICA-LiNGAM,0.05,50000,1002,1,0,-0.05288424205869038,0.185
DirectLiNGAM,0.05,50000,1002,1,0,-0.052884242058690634,0.743
PC,0.05,50000,1003,0,9,,0.032
FCI,0.05,50000,1003,0,7,,0.047
GES,0.05,50000,1003,1,5,,0.062
GRaSP,0.05,50000,1003,1,2,,0.02
ICA-LiNGAM,0.05,50000,1003,1,0,-0.05113649996290744,0.242
DirectLiNGAM,0.05,50000,1003,1,0,-0.05113649996290769,0.72
PC,0.05,50000,1004,0,9,,0.033
FCI,0.05,50000,1004,0,8,,0.047
GES,0.05,50000,1004,1,9,,0.057
GRaSP,0.05,50000,1004,1,5,,0.02
ICA-LiNGAM,0.05,50000,1004,1,0,-0.04951020946493094,0.21
DirectLiNGAM,0.05,50000,1004,1,0,-0.04951020946493066,0.728
PC,0.05,50000,1005,0,11,,0.035
FCI,0.05,50000,1005,0,7,,0.058
GES,0.05,50000,1005,1,5,,0.072
GRaSP,0.05,50000,1005,1,2,,0.012
ICA-LiNGAM,0.05,50000,1005,1,0,-0.05088235812119665,0.225
DirectLiNGAM,0.05,50000,1005,1,0,-0.05088235812119685,0.736
PC,0.05,50000,1006,0,9,,0.034
FCI,0.05,50000,1006,0,8,,0.049
GES,0.05,50000,1006,0,15,,0.066
GRaSP,0.05,50000,1006,0,19,,0.016
ICA-LiNGAM,0.05,50000,1006,1,0,-0.059231791582259954,0.181
DirectLiNGAM,0.05,50000,1006,1,0,-0.05923179158225999,0.727
PC,0.05,50000,1007,0,9,,0.032
FCI,0.05,50000,1007,0,8,,0.048
GES,0.05,50000,1007,0,15,,0.062
GRaSP,0.05,50000,1007,1,5,,0.012
ICA-LiNGAM,0.05,50000,1007,1,0,-0.048261264182804936,0.196
DirectLiNGAM,0.05,50000,1007,1,0,-0.04826126418280485,0.731
PC,0.05,50000,1008,0,9,,0.034
FCI,0.05,50000,1008,0,7,,0.046
GES,0.05,50000,1008,1,5,,0.07
GRaSP,0.05,50000,1008,1,2,,0.015
ICA-LiNGAM,0.05,50000,1008,1,0,-0.05667656627395204,0.227
DirectLiNGAM,0.05,50000,1008,1,0,-0.05667656627395182,0.73
PC,0.05,50000,1009,0,9,,0.033
FCI,0.05,50000,1009,0,8,,0.046
GES,0.05,50000,1009,1,5,,0.072
GRaSP,0.05,50000,1009,1,5,,0.014
ICA-LiNGAM,0.05,50000,1009,1,0,-0.053131222828279555,0.2
DirectLiNGAM,0.05,50000,1009,1,0,-0.05313122282827958,0.729
PC,0.05,50000,1010,0,9,,0.033
FCI,0.05,50000,1010,0,7,,0.047
GES,0.05,50000,1010,1,5,,0.071
GRaSP,0.05,50000,1010,1,2,,0.019
ICA-LiNGAM,0.05,50000,1010,1,0,-0.04847695235045549,0.227
DirectLiNGAM,0.05,50000,1010,1,0,-0.04847695235045523,0.742
PC,0.05,50000,1011,0,9,,0.035
FCI,0.05,50000,1011,0,7,,0.047
GES,0.05,50000,1011,1,5,,0.071
GRaSP,0.05,50000,1011,1,5,,0.021
ICA-LiNGAM,0.05,50000,1011,1,0,-0.054626675589014434,0.176
DirectLiNGAM,0.05,50000,1011,1,0,-0.054626675589014254,0.721
PC,0.05,50000,1012,0,9,,0.033
FCI,0.05,50000,1012,0,8,,0.046
GES,0.05,50000,1012,1,5,,0.07
GRaSP,0.05,50000,1012,1,2,,0.019
ICA-LiNGAM,0.05,50000,1012,1,0,-0.046380130413537134,0.202
DirectLiNGAM,0.05,50000,1012,1,0,-0.04638013041353734,0.718
PC,0.05,50000,1013,1,4,,0.032
FCI,0.05,50000,1013,0,8,,0.048
GES,0.05,50000,1013,0,16,,0.054
GRaSP,0.05,50000,1013,1,5,,0.019
ICA-LiNGAM,0.05,50000,1013,1,0,-0.04932589713451836,0.159
DirectLiNGAM,0.05,50000,1013,1,0,-0.04932589713451836,0.747
PC,0.05,50000,1014,0,10,,0.036
FCI,0.05,50000,1014,0,7,,0.06
GES,0.05,50000,1014,1,5,,0.063
GRaSP,0.05,50000,1014,1,14,,0.016
ICA-LiNGAM,0.05,50000,1014,1,0,-0.053040979138837846,0.188
DirectLiNGAM,0.05,50000,1014,1,0,-0.05304097913883763,0.719
PC,0.05,50000,1015,0,10,,0.034
FCI,0.05,50000,1015,0,10,,0.053
GES,0.05,50000,1015,1,2,,0.064
GRaSP,0.05,50000,1015,1,2,,0.018
ICA-LiNGAM,0.05,50000,1015,1,0,-0.04764530378746909,0.231
DirectLiNGAM,0.05,50000,1015,1,0,-0.04764530378746841,0.711
PC,0.05,50000,1016,0,9,,0.031
FCI,0.05,50000,1016,0,11,,0.056
GES,0.05,50000,1016,1,5,,0.071
GRaSP,0.05,50000,1016,1,5,,0.017
ICA-LiNGAM,0.05,50000,1016,1,0,-0.048374138258928306,0.196
DirectLiNGAM,0.05,50000,1016,1,0,-0.0483741382589284,0.714
PC,0.05,50000,1017,1,4,,0.032
FCI,0.05,50000,1017,0,8,,0.054
GES,0.05,50000,1017,1,9,,0.057
GRaSP,0.05,50000,1017,1,5,,0.014
ICA-LiNGAM,0.05,50000,1017,1,0,-0.04217714428659555,0.193
DirectLiNGAM,0.05,50000,1017,1,0,-0.04217714428659537,0.722
PC,0.05,50000,1018,0,9,,0.033
FCI,0.05,50000,1018,0,8,,0.046
GES,0.05,50000,1018,1,5,,0.071
GRaSP,0.05,50000,1018,1,5,,0.013
ICA-LiNGAM,0.05,50000,1018,1,0,-0.047868326595371435,0.166
DirectLiNGAM,0.05,50000,1018,1,0,-0.04786832659537204,0.741
PC,0.05,50000,1019,0,13,,0.036
FCI,0.05,50000,1019,0,9,,0.059
GES,0.05,50000,1019,1,6,,0.071
GRaSP,0.05,50000,1019,1,2,,0.015
ICA-LiNGAM,0.05,50000,1019,1,0,-0.04443274903623706,0.232
DirectLiNGAM,0.05,50000,1019,1,0,-0.044432749036237555,0.723
PC,0.1,1000,1000,0,9,,0.018
FCI,0.1,1000,1000,0,11,,0.028
GES,0.1,1000,1000,0,9,,0.035
GRaSP,0.1,1000,1000,0,7,,0.006
ICA-LiNGAM,0.1,1000,1000,0,2,0.0,0.016
DirectLiNGAM,0.1,1000,1000,0,2,0.0,0.051
PC,0.1,1000,1001,0,8,,0.016
FCI,0.1,1000,1001,0,11,,0.023
GES,0.1,1000,1001,1,10,,0.054
GRaSP,0.1,1000,1001,0,6,,0.009
ICA-LiNGAM,0.1,1000,1001,1,2,-0.12229062858197427,0.025
DirectLiNGAM,0.1,1000,1001,1,2,-0.1222906285819746,0.061
PC,0.1,1000,1002,0,11,,0.016
FCI,0.1,1000,1002,0,14,,0.022
GES,0.1,1000,1002,1,8,,0.026
GRaSP,0.1,1000,1002,0,8,,0.006
ICA-LiNGAM,0.1,1000,1002,0,2,0.0,0.016
DirectLiNGAM,0.1,1000,1002,0,2,0.0,0.06
PC,0.1,1000,1003,0,7,,0.021
FCI,0.1,1000,1003,0,8,,0.03
GES,0.1,1000,1003,1,8,,0.032
GRaSP,0.1,1000,1003,0,8,,0.006
ICA-LiNGAM,0.1,1000,1003,1,1,-0.1280695909963349,0.017
DirectLiNGAM,0.1,1000,1003,1,1,-0.12806959099633464,0.05
PC,0.1,1000,1004,0,10,,0.014
FCI,0.1,1000,1004,0,11,,0.02
GES,0.1,1000,1004,0,14,,0.038
GRaSP,0.1,1000,1004,0,14,,0.008
ICA-LiNGAM,0.1,1000,1004,1,1,-0.07767842273102275,0.025
DirectLiNGAM,0.1,1000,1004,1,1,-0.07767842273102143,0.065
PC,0.1,1000,1005,0,6,,0.018
FCI,0.1,1000,1005,0,9,,0.023
GES,0.1,1000,1005,0,11,,0.026
GRaSP,0.1,1000,1005,0,6,,0.007
ICA-LiNGAM,0.1,1000,1005,0,2,0.0,0.016
DirectLiNGAM,0.1,1000,1005,0,2,0.0,0.061
PC,0.1,1000,1006,0,9,,0.02
FCI,0.1,1000,1006,0,11,,0.027
GES,0.1,1000,1006,1,9,,0.038
GRaSP,0.1,1000,1006,0,6,,0.008
ICA-LiNGAM,0.1,1000,1006,0,2,0.0,0.017
DirectLiNGAM,0.1,1000,1006,0,2,0.0,0.05
PC,0.1,1000,1007,0,8,,0.015
FCI,0.1,1000,1007,0,11,,0.023
GES,0.1,1000,1007,0,13,,0.047
GRaSP,0.1,1000,1007,0,7,,0.008
ICA-LiNGAM,0.1,1000,1007,1,1,-0.08733471427025753,0.022
DirectLiNGAM,0.1,1000,1007,1,1,-0.08733471427025738,0.06
PC,0.1,1000,1008,0,11,,0.018
FCI,0.1,1000,1008,0,9,,0.024
GES,0.1,1000,1008,1,15,,0.04
GRaSP,0.1,1000,1008,0,15,,0.008
ICA-LiNGAM,0.1,1000,1008,1,1,-0.09051194147964939,0.015
DirectLiNGAM,0.1,1000,1008,1,1,-0.09051194147964813,0.061
PC,0.1,1000,1009,0,10,,0.02
FCI,0.1,1000,1009,0,10,,0.025
GES,0.1,1000,1009,0,11,,0.031
GRaSP,0.1,1000,1009,0,11,,0.008
ICA-LiNGAM,0.1,1000,1009,0,2,0.0,0.016
DirectLiNGAM,0.1,1000,1009,0,2,0.0,0.051
PC,0.1,1000,1010,0,9,,0.013
FCI,0.1,1000,1010,0,12,,0.018
GES,0.1,1000,1010,0,7,,0.037
GRaSP,0.1,1000,1010,0,9,,0.006
ICA-LiNGAM,0.1,1000,1010,0,3,0.0,0.021
DirectLiNGAM,0.1,1000,1010,0,3,0.0,0.068
PC,0.1,1000,1011,0,8,,0.017
FCI,0.1,1000,1011,0,11,,0.03
GES,0.1,1000,1011,1,10,,0.036
GRaSP,0.1,1000,1011,0,8,,0.007
ICA-LiNGAM,0.1,1000,1011,0,2,0.0,0.017
DirectLiNGAM,0.1,1000,1011,0,2,0.0,0.086
PC,0.1,1000,1012,0,9,,0.018
FCI,0.1,1000,1012,0,12,,0.026
