algorithm,n,beta,detection_rate,mean_shd,std_shd,shd_label
GRaSP,10000,0.1,0.55,9.45,6.86,9±7
GRaSP,10000,0.15,0.65,8.45,6.71,8±7
GRaSP,10000,0.2,0.55,10.85,6.52,11±7
GRaSP,10000,0.25,0.55,11.1,5.99,11±6
ICA-LiNGAM,10000,0.0,0.0,0.15,0.37,0.1±0.4
ICA-LiNGAM,10000,0.05,0.9,0.25,0.44,0.2±0.4
ICA-LiNGAM,10000,0.1,1.0,0.15,0.37,0.1±0.4
ICA-LiNGAM,10000,0.15,1.0,0.15,0.37,0.1±0.4
ICA-LiNGAM,10000,0.2,1.0,0.15,0.37,0.1±0.4
ICA-LiNGAM,10000,0.25,1.0,0.15,0.37,0.1±0.4
DirectLiNGAM,10000,0.0,0.0,0.15,0.37,0.1±0.4
DirectLiNGAM,10000,0.05,0.9,0.25,0.44,0.2±0.4
DirectLiNGAM,10000,0.1,1.0,0.15,0.37,0.1±0.4
DirectLiNGAM,10000,0.15,1.0,0.15,0.37,0.1±0.4
DirectLiNGAM,10000,0.2,1.0,0.15,0.37,0.1±0.4
DirectLiNGAM,10000,0.25,1.0,0.15,0.37,0.1±0.4
PC,50000,0.0,0.0,4.8,1.82,5±2
PC,50000,0.05,0.1,9.0,2.0,9±2
PC,50000,0.1,0.65,5.3,3.1,5±3
PC,50000,0.15,0.1,8.25,1.33,8±1
PC,50000,0.2,0.8,5.2,2.82,5±3
PC,50000,0.25,0.55,7.7,3.74,8±4
FCI,50000,0.0,0.0,7.85,1.04,8±1
FCI,50000,0.05,0.0,8.1,1.25,8±1
FCI,50000,0.1,0.15,6.3,1.3,6±1
FCI,50000,0.15,0.05,9.35,0.81,9.3±0.8
FCI,50000,0.2,0.45,7.25,1.94,7±2
FCI,50000,0.25,0.4,8.45,1.28,8±1
GES,50000,0.0,0.0,5.25,2.43,5±2
GES,50000,0.05,0.75,7.95,4.77,8±5
GES,50000,0.1,1.0,3.8,2.07,4±2
GES,50000,0.15,0.95,5.5,3.38,6±3
GES,50000,0.2,0.95,6.0,4.3,6±4
GES,50000,0.25,0.9,6.3,3.79,6±4
GRaSP,50000,0.0,0.0,5.45,3.83,5±4
GRaSP,50000,0.05,0.95,4.95,4.29,5±4
GRaSP,50000,0.1,0.45,12.35,7.29,12±7
GRaSP,50000,0.15,0.45,11.55,7.1,12±7
GRaSP,50000,0.2,0.4,12.05,6.97,12±7
GRaSP,50000,0.25,0.85,8.85,6.14,9±6
ICA-LiNGAM,50000,0.0,0.0,0.0,0.0,0.0±0.0
ICA-LiNGAM,50000,0.05,1.0,0.0,0.0,0.0±0.0
ICA-LiNGAM,50000,0.1,1.0,0.0,0.0,0.0±0.0
ICA-LiNGAM,50000,0.15,1.0,0.0,0.0,0.0±0.0
ICA-LiNGAM,50000,0.2,1.0,0.0,0.0,0.0±0.0
ICA-LiNGAM,50000,0.25,1.0,0.0,0.0,0.0±0.0
DirectLiNGAM,50000,0.0,0.0,0.0,0.0,0.0±0.0
DirectLiNGAM,50000,0.05,1.0,0.0,0.0,0.0±0.0
DirectLiNGAM,50000,0.1,1.0,0.0,0.0,0.0±0.0
DirectLiNGAM,50000,0.15,1.0,0.0,0.0,0.0±0.0
DirectLiNGAM,50000,0.2,1.0,0.0,0.0,0.0±0.0
DirectLiNGAM,50000,0.25,1.0,0.0,0.0,0.0±0.0
